Lower layer Super Output Areas Code,Lower layer Super Output Areas,Observation
E01000477,Brent 026D,682
E01000478,Brent 029D,716
E01000479,Brent 009A,514
E01000480,Brent 006A,513
E01000481,Brent 009B,601
E01000483,Brent 009D,657
E01000484,Brent 006B,614
E01000485,Brent 006C,531
E01000486,Brent 006D,520
E01000487,Brent 006E,697
E01000488,Brent 022A,551
E01000489,Brent 030A,688
E01000490,Brent 023A,887
E01000491,Brent 030B,864
E01000492,Brent 030C,451
E01000493,Brent 030D,564
E01000494,Brent 023B,721
E01000495,Brent 023C,782
E01000497,Brent 011A,685
E01000498,Brent 010B,515
E01000499,Brent 011B,584
E01000501,Brent 011C,759
E01000502,Brent 011D,658
E01000503,Brent 011E,776
E01000504,Brent 018A,697
E01000505,Brent 018B,570
E01000506,Brent 014A,667
E01000507,Brent 018C,519
E01000508,Brent 025A,863
E01000509,Brent 014B,456
E01000510,Brent 014C,576
E01000511,Brent 014D,560
E01000512,Brent 018D,651
E01000513,Brent 002A,468
E01000514,Brent 002B,493
E01000515,Brent 003A,648
E01000516,Brent 002C,750
E01000517,Brent 003B,489
E01000518,Brent 005A,627
E01000519,Brent 005B,630
E01000520,Brent 002D,611
E01000521,Brent 025B,921
E01000522,Brent 025C,698
E01000523,Brent 031A,865
E01000524,Brent 031B,986
E01000525,Brent 031C,758
E01000526,Brent 025D,808
E01000527,Brent 025E,734
E01000528,Brent 025F,735
E01000530,Brent 033A,674
E01000531,Brent 033B,858
E01000532,Brent 033C,610
E01000533,Brent 031E,878
E01000534,Brent 033D,657
E01000535,Brent 031F,847
E01000536,Brent 004A,504
E01000538,Brent 004B,485
E01000539,Brent 004C,539
E01000540,Brent 004D,483
E01000541,Brent 004E,486
E01000543,Brent 003E,494
E01000544,Brent 034A,740
E01000545,Brent 028A,910
E01000546,Brent 028B,753
E01000547,Brent 028C,687
E01000548,Brent 028D,1002
E01000549,Brent 028E,892
E01000550,Brent 034B,910
E01000551,Brent 034C,1176
E01000552,Brent 034D,578
E01000553,Brent 015A,743
E01000554,Brent 015B,757
E01000555,Brent 015C,528
E01000556,Brent 015D,860
E01000557,Brent 015E,831
E01000558,Brent 015F,643
E01000559,Brent 018E,656
E01000560,Brent 023D,664
E01000561,Brent 023E,823
E01000562,Brent 008A,477
E01000563,Brent 008B,482
E01000564,Brent 013A,490
E01000565,Brent 013B,484
E01000566,Brent 008C,464
E01000567,Brent 016A,460
E01000568,Brent 008D,663
E01000569,Brent 008E,482
E01000570,Brent 012A,513
E01000571,Brent 012B,496
E01000572,Brent 007A,462
E01000573,Brent 007B,480
E01000574,Brent 007C,455
E01000575,Brent 007D,660
E01000576,Brent 012C,572
E01000577,Brent 007E,861
E01000578,Brent 012D,835
E01000579,Brent 032A,634
E01000580,Brent 032B,853
E01000581,Brent 030E,593
E01000582,Brent 032C,685
E01000583,Brent 032D,902
E01000584,Brent 033E,551
E01000585,Brent 033F,592
E01000586,Brent 032E,1087
E01000587,Brent 001A,459
E01000589,Brent 001B,804
E01000590,Brent 001C,631
E01000591,Brent 003F,641
E01000592,Brent 001D,618
E01000593,Brent 001E,670
E01000594,Brent 001F,558
E01000595,Brent 027A,653
E01000596,Brent 021A,626
E01000599,Brent 027D,698
E01000601,Brent 021B,513
E01000602,Brent 021C,502
E01000603,Brent 021D,564
E01000604,Brent 021E,513
E01000605,Brent 021F,571
E01000606,Brent 016B,576
E01000607,Brent 013C,688
E01000608,Brent 013D,808
E01000609,Brent 016C,632
E01000610,Brent 019A,687
E01000611,Brent 016D,605
E01000612,Brent 019B,544
E01000613,Brent 013E,638
E01000615,Brent 036A,827
E01000616,Brent 020A,591
E01000617,Brent 036B,720
E01000618,Brent 036D,480
E01000619,Brent 036C,478
E01000620,Brent 020B,509
E01000621,Brent 020C,516
E01000622,Brent 010D,706
E01000623,Brent 005C,568
E01000624,Brent 005D,589
E01000625,Brent 009E,588
E01000626,Brent 010E,604
E01000627,Brent 014E,687
E01000628,Brent 014F,640
E01000629,Brent 005E,624
E01000630,Brent 026E,908
E01000631,Brent 019C,581
E01000632,Brent 029E,594
E01000633,Brent 019D,615
E01000634,Brent 019E,763
E01000636,Brent 020E,767
E01000637,Brent 022B,615
E01000638,Brent 024A,790
E01000639,Brent 022C,750
E01000640,Brent 024B,816
E01000641,Brent 024C,735
E01000642,Brent 022D,1028
E01000643,Brent 024D,896
E01000644,Brent 022E,763
E01000645,Bromley 007A,542
E01000646,Bromley 016A,783
E01000647,Bromley 016B,648
E01000648,Bromley 016C,727
E01000649,Bromley 007B,817
E01000650,Bromley 022A,749
E01000651,Bromley 020A,625
E01000652,Bromley 022B,674
E01000653,Bromley 016D,595
E01000654,Bromley 039A,488
E01000655,Bromley 039B,490
E01000656,Bromley 039C,565
E01000657,Bromley 039D,675
E01000658,Bromley 042A,561
E01000659,Bromley 039E,523
E01000661,Bromley 026A,1180
E01000662,Bromley 026B,652
E01000663,Bromley 026C,664
E01000664,Bromley 026D,600
E01000665,Bromley 033A,743
E01000666,Bromley 033B,803
E01000667,Bromley 033C,627
E01000668,Bromley 020B,974
E01000669,Bromley 020C,747
E01000670,Bromley 018A,834
E01000671,Bromley 020D,1017
E01000672,Bromley 011A,695
E01000673,Bromley 011B,635
E01000674,Bromley 008A,799
E01000676,Bromley 008B,965
E01000677,Bromley 018C,801
E01000678,Bromley 016E,699
E01000679,Bromley 020E,677
E01000680,Bromley 037A,647
E01000681,Bromley 035A,649
E01000682,Bromley 035B,639
E01000683,Bromley 035C,704
E01000684,Bromley 035D,748
E01000685,Bromley 037B,612
E01000686,Bromley 037C,641
E01000687,Bromley 037D,660
E01000688,Bromley 037E,508
E01000689,Bromley 002A,616
E01000690,Bromley 002B,536
E01000691,Bromley 002C,636
